"iWine","Barcode","Location","Bin","Size","Currency","ExchangeRate","Valuation","Price","NativePrice","NativePriceCurrency","StoreName","PurchaseDate","BottleNote","Vintage","Wine","Locale","Country","Region","SubRegion","Appellation","Producer","SortProducer","Type","Color","Category","Varietal","MasterVarietal","Designation","Vineyard","WA","WS","IWC","BH","AG","WE","JR","RH","JG","GV","JK","LD","CW","WFW","PR","SJ","WD","RR","JH","MFW","WWR","IWR","CHG","TT","TWF","DR","FP","JM","PG","WAL","CT","CNotes","MY","PNotes","BeginConsume","EndConsume"
"3100463","0121382030","Cellar","A","750ml","USD","1","0","0","0","USD","Unknown","12/1/2019","","2016","Beckham Estate Vineyard Pinot Noir Dow's","USA, Oregon, Willamette Valley, Chehalem Mountains","USA","Oregon","Willamette Valley","Chehalem Mountains","Beckham Estate Vineyard","Beckham Estate Vineyard","Red","Red","Dry","Pinot Noir","Pinot Noir","Dow's","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2019","2023"
"3599013","0126866631","Cellar","A","750ml","USD","1","0","0","0","USD","Unknown","4/12/2020","","2018","Beckham Estate Vineyard Pinot Noir Sophia's","USA, Oregon, Willamette Valley, Chehalem Mountains","USA","Oregon","Willamette Valley","Chehalem Mountains","Beckham Estate Vineyard","Beckham Estate Vineyard","Red","Red","Dry","Pinot Noir","Pinot Noir","Sophia's","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","1","","","2021","2027"
"3599013","0126866630","Cellar","A","750ml","USD","1","0","0","0","USD","Unknown","4/12/2020","","2018","Beckham Estate Vineyard Pinot Noir Sophia's","USA, Oregon, Willamette Valley, Chehalem Mountains","USA","Oregon","Willamette Valley","Chehalem Mountains","Beckham Estate Vineyard","Beckham Estate Vineyard","Red","Red","Dry","Pinot Noir","Pinot Noir","Sophia's","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","1","","","2021","2027"
"2584284","0124013908","Cellar","A","750ml","USD","1","0","0","0","USD","Unknown","2/8/2020","","1001","Diebolt-Vallois Champagne Blanc de Blancs Brut","France, Champagne","France","Champagne","Unknown","Champagne","Diebolt-Vallois","Diebolt-Vallois","White - Sparkling","White","Sparkling","Chardonnay","Chardonnay","Blanc de Blancs Brut","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.4738805970149","330","","","2013","2017"
"3497180","0128729336","Cellar","A","750ml","USD","1","0","0","0","USD","Unknown","5/16/2020","","2018","Hawks View Cellars Chardonnay Barrel Select","USA, Oregon, Willamette Valley, Chehalem Mountains","USA","Oregon","Willamette Valley","Chehalem Mountains","Hawks View Cellars","Hawks View Cellars","White","White","Dry","Chardonnay","Chardonnay","Barrel Select","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","",""
"3335468","0129876270","Cellar","A","750ml","USD","1","0","0","0","USD","Unknown","6/9/2020","","2016","Natalie's Estate Winery Rock Horse Ranch Stable 39","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Natalie's Estate Winery","Natalie's Estate Winery","Red","Red","Dry","Red Blend","Red Blend","Rock Horse Ranch","Stable 39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2020","2020"
"3307053","0118175392","Cellar","A","750ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2018","Penner-Ash Viognier","USA, Oregon","USA","Oregon","Unknown","Oregon","Penner-Ash","Penner-Ash","White","White","Dry","Viognier","Viognier","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","7","","","2019","2021"
"3098178","0129876165","Cellar","A","750ml","USD","1","0","0","0","USD","Unknown","6/9/2020","","2016","Zerba Cellars Malbec Walla Walla Valley","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Zerba Cellars","Zerba Cellars","Red","Red","Dry","Malbec","Malbec","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","2020","2020"
"3344401","0125286769","Cellar","B","750ml","USD","1","0","0","0","USD","Unknown","3/12/2020","","2017","Delfino Tempranillo","USA, Oregon, Southern Oregon, Umpqua Valley","USA","Oregon","Southern Oregon","Umpqua Valley","Delfino","Delfino","Rosé","Rosé","Dry","Tempranillo","Tempranillo","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2020","2020"
"1890854","0127407659","Cellar","B","750ml","USD","1","0","0","0","USD","Unknown","4/21/2020","","1001","Eola Hills Wine Cellars Rosé","USA, Oregon, Willamette Valley, Eola - Amity Hills","USA","Oregon","Willamette Valley","Eola - Amity Hills","Eola Hills Wine Cellars","Eola Hills Wine Cellars","Rosé","Rosé","Dry","Rosé Blend","Rosé Blend","Rosé","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","2","","","2020","2020"
"3344431","0118041470","Cellar","B","750ml","USD","1","0","0","0","USD","Unknown","9/15/2019","","2018","Foon Estate Vineyard Rosé de Malbec","USA, Oregon, Southern Oregon, Umpqua Valley","USA","Oregon","Southern Oregon","Umpqua Valley","Foon Estate Vineyard","Foon Estate Vineyard","Rosé","Rosé","Dry","Malbec","Malbec","Rosé de Malbec","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","1","","","",""
"3344431","0118175457","Cellar","B","750ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2018","Foon Estate Vineyard Rosé de Malbec","USA, Oregon, Southern Oregon, Umpqua Valley","USA","Oregon","Southern Oregon","Umpqua Valley","Foon Estate Vineyard","Foon Estate Vineyard","Rosé","Rosé","Dry","Malbec","Malbec","Rosé de Malbec","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","1","","","",""
"3246553","0119151014","Cellar","B","750ml","USD","1","0","0","0","USD","Unknown","10/15/2019","","2016","Natalie's Estate Winery Zinfandel","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Natalie's Estate Winery","Natalie's Estate Winery","Red","Red","Dry","Zinfandel","Zinfandel","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2020","2025"
"2845856","0120687776","Cellar","B","750ml","USD","1","0","0","0","USD","Unknown","11/17/2019","","2015","Raptor Ridge Pinot Noir Black Hole Vineyard","USA, Oregon, Willamette Valley, Chehalem Mountains","USA","Oregon","Willamette Valley","Chehalem Mountains","Raptor Ridge","Raptor Ridge","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Black Hole Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","3","","","2017","2021"
